activity,x,y,z,alpha,beta,gamma,ts
string,float,float,float,float,float,float,datetime
S,,,,,,T
Jacks_in_pocket,17.4398139881,52.6308366851,9.37105493546,-126.846680586,-263.445450627,213.409042051,2013-06-22T03:13:28
Jacks_in_pocket,1.7357962744,19.07535223,2.91658653488,96.0529161469,-101.305714109,2.62764079494,2013-06-22T03:13:28
Jacks_in_pocket,3.27437006374,3.97317765503,3.59728814052,62.9558343349,-54.6088957917,20.9174765313,2013-06-22T03:13:28
Jacks_in_pocket,1.18093993234,-2.34527074825,1.34479299886,16.0580923425,87.7969113273,58.6754572349,2013-06-22T03:13:28
Jacks_in_pocket,-0.269946164117,-1.70721600582,-0.716464846802,-140.175617166,-64.256814617,61.1442017896,2013-06-22T03:13:28
Jacks_in_pocket,-2.32641567952,-2.83413621521,-3.96689258341,-16.809025538,-42.4044405752,4.31695788566,2013-06-22T03:13:28
Jacks_in_pocket,0.283712896729,0.457142879486,-0.0960673416138,-48.8579072464,-127.967104817,7.38698960625,2013-06-22T03:13:28
Jacks_in_pocket,-0.379331325531,1.72651867218,1.0708066925,-3.66580863132,-61.8903521451,3.38550385764,2013-06-22T03:13:28
Jacks_in_pocket,0.248099147034,0.31244331665,0.80475103302,-47.6734602368,4.86570254065,-13.8303373522,2013-06-22T03:13:28
Jacks_in_pocket,-0.356137496948,2.86181917191,2.20446117859,-63.4606262957,61.969855547,-17.4566111411,2013-06-22T03:13:28
Jacks_in_pocket,19.0116073414,31.5644076685,-2.50508312454,-181.846956462,-356.714251895,113.040177179,2013-06-22T03:13:28
Jacks_in_pocket,-1.13604868774,26.2944699548,22.1240693535,-27.7178604633,110.928658348,19.0784429746,2013-06-22T03:13:28
Jacks_in_pocket,2.30277304773,31.7495082153,5.64073903826,130.028264664,-66.0627029732,-31.5114670566,2013-06-22T03:13:28
Jacks_in_pocket,4.57053096924,18.9034186232,1.88558344498,126.285949376,-86.913166811,27.1412832143,2013-06-22T03:13:28
Jacks_in_pocket,3.01549695443,6.71708239517,3.01310286237,27.1020267021,-2.0050395969,-2.48265487532,2013-06-22T03:13:28
Jacks_in_pocket,-1.58331548538,-0.178966574097,1.72337642863,-59.6965090441,111.924820948,-34.7432188738,2013-06-22T03:13:29
Jacks_in_pocket,0.5333084198,-2.3671178384,-1.20503162308,-64.3689390024,208.614385857,-32.7345592766,2013-06-22T03:13:29
Jacks_in_pocket,-1.1210849639,-0.779761553192,-0.847398042352,-10.8972551934,59.5201877106,-61.7709262875,2013-06-22T03:13:29
Jacks_in_pocket,-0.228047712696,-0.474051928711,-0.0537198997498,1.45205467509,89.0265912647,-54.9408361552,2013-06-22T03:13:29
Jacks_in_pocket,0.0477343955994,0.193631059265,-4.10351230016,47.9622235594,1.97906460093,-43.9531586487,2013-06-22T03:13:29
Jacks_in_pocket,-0.829740512848,-0.270095874786,1.57628237187,49.2979080328,9.45915032589,-80.0334382789,2013-06-22T03:13:29
Jacks_in_pocket,8.77460003139,-0.668131900787,4.64130930009,-515.998771265,-387.88625172,82.3928246749,2013-06-22T03:13:29
Jacks_in_pocket,-26.5406233563,60.865995493,16.1978216942,-94.0403804174,-212.182763548,145.5869848,2013-06-22T03:13:29
Jacks_in_pocket,6.30842202624,25.5097691916,12.4465566055,190.408967417,104.226255187,-85.4316782894,2013-06-22T03:13:29
Jacks_in_pocket,0.70374561395,20.9003330299,1.01035310059,146.311462966,-116.758846352,43.9002246827,2013-06-22T03:13:29
Jacks_in_pocket,-2.51690446784,7.34750576594,3.33587099102,66.5758550855,22.6026754448,68.4462204275,2013-06-22T03:13:29
Jacks_in_pocket,-3.16124394396,-0.985813118091,0.162506437683,26.7459484501,9.5058141783,39.4925396867,2013-06-22T03:13:29
Jacks_in_pocket,0.878372715804,-1.90653212498,1.05494510651,-174.285773127,-100.62873308,21.4570597682,2013-06-22T03:13:29
Jacks_in_pocket,1.95740953131,-4.83838227997,-3.34050957407,-27.1943315861,-71.888014222,29.7830740268,2013-06-22T03:13:29
Jacks_in_pocket,0.857423542609,-1.22074357147,0.481384171295,-52.4933813001,-102.390600866,20.1137425584,2013-06-22T03:13:29
Jacks_in_pocket,-2.37220507853,3.00247851944,-0.0404021530151,7.9896112203,-44.8306740325,4.54220215656,2013-06-22T03:13:29
Jacks_in_pocket,-1.07499654541,-0.342969387817,0.729483318329,-22.5498712523,-21.2824391518,-16.6022279005,2013-06-22T03:13:29
Jacks_in_pocket,-0.868197230884,1.31396779861,2.67507158854,-39.2585920473,36.8123188149,-15.7825164076,2013-06-22T03:13:29
Jacks_in_pocket,7.80988552317,15.4741742424,7.52916567078,-190.644240113,-290.305552029,17.280481053,2013-06-22T03:13:29
Jacks_in_pocket,5.08303976212,35.4190700033,17.4746787825,22.9085962026,-8.82331606322,33.9328954759,2013-06-22T03:13:29
Jacks_in_pocket,-0.294187528992,37.8373639022,8.20807147903,80.22375467,63.6007817774,-39.3546757334,2013-06-22T03:13:30
Jacks_in_pocket,4.99819524078,17.7667719696,5.03829804553,110.264654678,-17.6771050154,-1.47850714397,2013-06-22T03:13:30
Jacks_in_pocket,0.943016178894,6.90113650167,1.37382298625,41.4566903561,-5.94518533755,-4.65743726625,2013-06-22T03:13:30
Jacks_in_pocket,-0.130483990479,1.39237790298,3.14957228394,-11.6626257012,134.804561309,-15.6851827968,2013-06-22T03:13:30
Jacks_in_pocket,-0.854281079865,-2.82904853668,-2.54294143829,-19.9705100764,183.873323325,-10.6560291336,2013-06-22T03:13:30
Jacks_in_pocket,-0.546775731073,-0.963666168213,-0.953191828211,-1.61798184798,52.8019624166,-49.8531648462,2013-06-22T03:13:30
Jacks_in_pocket,0.659303263899,1.10746790543,-0.20934300766,-1.95813775508,76.0439042941,-61.056187972,2013-06-22T03:13:30
Jacks_in_pocket,0.938527014249,0.707935503387,-0.107140524292,13.378948933,60.7343631186,-33.2865717502,2013-06-22T03:13:30
Jacks_in_pocket,0.195576348114,-0.51819502182,-0.00987608184814,-3.98798737381,71.5424271405,-42.4253102182,2013-06-22T03:13:30
Jacks_in_pocket,19.487455652,29.7506491043,14.7716256927,36.8265426838,-10.5046021321,109.113412633,2013-06-22T03:13:30
Jacks_in_pocket,-1.51104052277,43.0169205032,11.0438537079,77.4377409981,24.0130224235,-54.8976420389,2013-06-22T03:13:30
Jacks_in_pocket,0.625485220248,22.1674636741,2.23034819178,151.795544794,-29.0385048601,46.3849279744,2013-06-22T03:13:30
Jacks_in_pocket,-1.98464355693,11.5155114349,4.6284406123,109.488799829,-110.461125069,19.2301090327,2013-06-22T03:13:30
Jacks_in_pocket,1.93137258826,-0.364816477966,4.27469749967,68.7514342607,37.0580075495,15.9202266816,2013-06-22T03:13:30
Jacks_in_pocket,3.59923328323,-2.06978675068,0.208445182037,-5.69044361406,25.2976939215,55.1303158481,2013-06-22T03:13:30
Jacks_in_pocket,-0.304811798859,-3.85825597534,1.3133692482,-162.528831905,-69.8028257702,55.5531182181,2013-06-22T03:13:30
Jacks_in_pocket,-3.17845248759,1.61877959747,-2.92870718079,-12.5098415121,-150.158280148,22.0700350952,2013-06-22T03:13:30
Jacks_in_pocket,0.475249029541,2.49595523071,0.661547846222,-13.1870359853,-15.7704679539,14.3358516055,2013-06-22T03:13:30
Jacks_in_pocket,-0.471059176636,0.497245757294,0.736516285706,-32.1912996904,-17.1117002484,-8.39340175875,2013-06-22T03:13:30
Jacks_in_pocket,-0.117615156555,1.32189859161,-1.00257194519,-49.1267673978,63.5846693612,-12.348255458,2013-06-22T03:13:30
Jacks_in_pocket,3.85376684723,7.30366161925,6.468684046,-149.844473937,-78.182607278,-2.37572762353,2013-06-22T03:13:31
Jacks_in_pocket,7.96880095062,43.2723513083,16.4462201164,-42.1538443496,-92.0169505362,34.6752789821,2013-06-22T03:13:31
Jacks_in_pocket,1.79804544678,36.7770312574,9.21064313196,20.6846797787,67.2911056652,-46.3712368602,2013-06-22T03:13:31
Jacks_in_pocket,5.7272296463,21.2852009468,2.78310993846,146.50768064,-32.2287154667,-28.3943582572,2013-06-22T03:13:31
Jacks_in_pocket,-1.23241530457,9.68304955849,2.17752640991,62.4698049037,0.401884862308,-13.0629903584,2013-06-22T03:13:31
Jacks_in_pocket,2.35469740583,2.38103355103,4.6552257799,23.9571736742,71.2533393839,-26.3527754407,2013-06-22T03:13:31
Jacks_in_pocket,-0.235529588318,-1.34673843384,0.249745160675,-48.481632125,167.669778689,4.68084816652,2013-06-22T03:13:31
Jacks_in_pocket,-1.17181214811,-1.52765029678,-1.61444039923,-14.6277260793,105.444091576,-52.9031550843,2013-06-22T03:13:31
Jacks_in_pocket,-0.259471604919,-0.230741184998,-0.883011499786,14.6552534492,114.307839798,-54.6820027215,2013-06-22T03:13:31
Jacks_in_pocket,1.05015663012,0.897526347351,-0.844853910828,27.9921881811,49.4144720411,-51.0113087974,2013-06-22T03:13:31
Jacks_in_pocket,1.57433715609,0.806546684265,-0.471807364655,64.1222393998,18.2321961968,-55.2736507829,2013-06-22T03:13:31
Jacks_in_pocket,2.27568853185,-1.63374335785,0.333093305969,-38.1680225727,88.548232136,-26.161642842,2013-06-22T03:13:31
Jacks_in_pocket,-3.52845476972,7.54861866886,-2.09432790222,-200.669140985,-133.216637949,74.5086075423,2013-06-22T03:13:31
